Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance,Q1 Balance,Q2 Balance,Q3 Balance,Q4 Balance
30,No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,690,687,554,931,588
31,No,Points,Letter,Medium,1,No,High,2,1,3,No,863.25,1306,1083,632,432
32,No,Cash Back,Postcard,Low,2,No,Low,1,1,5,Yes,733,781,683,558,910
33,No,Points,Postcard,Low,1,No,High,2,2,4,No,771,82,456,1304,1242
34,No,Air Miles,Postcard,Low,3,No,Medium,1,1,4,Yes,659.5,715,626,746,551
35,No,Air Miles,Letter,Medium,1,No,Low,2,1,2,No,1258,1713,1531,1280,508
36,No,Points,Letter,High,1,No,High,2,1,4,Yes,875.25,995,693,946,867
37,No,Air Miles,Postcard,Medium,2,No,Medium,2,2,2,Yes,675.75,605,632,576,890
38,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,1095.75,1866,1367,691,459
39,No,Air Miles,Postcard,High,1,No,Low,1,2,8,No,1285,206,1499,1545,1890
40,No,Air Miles,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1079.25,1832,1021,764,700
41,No,Air Miles,Letter,Low,1,Yes,High,1,1,3,Yes,1119.75,1012,1148,1274,1045
42,No,Air Miles,Letter,High,1,No,Medium,3,1,3,Yes,172,340,26,95,227
43,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,No,834.75,185,868,1503,783
44,No,Air Miles,Letter,High,2,No,Medium,3,1,3,Yes,1044.75,737,1252,1232,958
45,No,Points,Postcard,Medium,1,No,Low,2,1,2,No,838.75,997,910,504,944
46,Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25,206,467,1744,988
47,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1040.25,574,911,1498,1178
48,No,Air Miles,Letter,Low,1,Yes,High,2,1,3,No,987,740,439,1240,1529
49,No,Air Miles,Postcard,Medium,1,No,Low,1,2,3,No,822,794,922,757,815
50,No,Points,Letter,Medium,2,Yes,High,1,1,5,Yes,650.5,689,725,513,675
51,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75,1536,1232,597,362
52,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,988,1983,1127,585,257
53,No,Points,Letter,Medium,1,No,Medium,1,1,4,No,1145.5,198,1671,1573,1140
54,No,Points,Postcard,Medium,3,No,Low,1,1,4,No,1162.5,688,1331,1952,679
55,No,Air Miles,Postcard,Medium,1,No,High,2,2,3,Yes,954.25,1312,1313,942,250
56,No,Points,Postcard,High,1,No,Medium,4,2,5,Yes,1301.25,2024,1796,1134,251
57,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,1148.75,850,1559,1762,424
58,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1192.75,1787,908,1343,733
59,No,Cash Back,Postcard,Medium,1,No,High,2,3,2,Yes,1195.5,272,1181,1491,1838
60,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1351.5,755,1292,1736,1623
61,No,Cash Back,Postcard,Medium,2,No,High,1,1,4,No,1062.25,430,989,1827,1003
62,No,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,1147.25,2189,970,1362,68
63,No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,1308.5,1445,1232,1001,1556
64,No,Cash Back,Postcard,Medium,2,No,High,2,1,2,No,363,382,156,443,471
65,No,Cash Back,Letter,Medium,1,No,Low,1,2,4,Yes,929.5,341,878,1543,956
66,No,Cash Back,Postcard,Low,1,No,Low,2,1,2,No,718,725,867,715,565
67,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1193.25,1459,703,1043,1568
68,No,Air Miles,Letter,Medium,1,No,Medium,3,1,2,Yes,957.75,440,696,892,1803
69,No,Points,Postcard,Medium,2,No,Low,2,1,4,No,1050,742,1197,1767,494
70,No,Points,Postcard,Medium,2,No,High,2,1,5,Yes,1266.5,660,1157,1151,2098
71,No,Air Miles,Postcard,Medium,1,No,High,4,1,2,Yes,1124.75,220,1100,1939,1240
72,No,Air Miles,Letter,High,3,No,High,2,2,1,No,1059.75,293,1774,1595,577
73,No,Cash Back,Postcard,Medium,1,No,High,1,1,1,No,1014.25,717,1289,1443,608
74,No,Air Miles,Letter,Low,1,No,High,1,1,3,Yes,891.25,1634,1019,615,297
75,Yes,Cash Back,Postcard,High,1,No,Low,2,2,5,Yes,1329.5,1073,1127,1603,1515
76,No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,No,1023.5,1234,1352,1158,350
77,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,908.5,235,434,1310,1655
78,No,Cash Back,Letter,High,1,No,Low,1,1,3,Yes,731.5,570,785,730,841
79,No,Points,Postcard,Low,1,No,Medium,2,1,2,No,793.5,625,930,859,760
80,No,Cash Back,Postcard,Medium,2,No,Low,1,1,3,Yes,1735.5,1610,1746,1972,1614
81,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,970.5,1675,1131,581,495
82,No,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,995.25,662,1174,1637,508
83,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,904,1471,1381,605,159
84,No,Cash Back,Postcard,High,2,No,High,1,1,5,Yes,1128.5,969,1103,1182,1260
85,No,Air Miles,Postcard,Medium,3,No,Medium,2,1,3,Yes,1102.75,200,1704,1855,652
86,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,976.25,332,1589,1374,610
87,No,Air Miles,Letter,Medium,2,No,High,2,1,5,Yes,839.75,697,901,882,879
88,No,Points,Postcard,Medium,1,No,Medium,2,1,4,No,1293,538,826,1735,2073
89,No,Cash Back,Postcard,Medium,2,No,High,2,1,5,Yes,819.5,321,1036,1274,647
90,No,Air Miles,Postcard,Medium,2,No,Low,2,2,3,Yes,1094.5,1864,1440,900,174
91,No,Points,Postcard,Low,1,Yes,Low,1,1,2,Yes,1247.25,757,450,1768,2014
92,No,Air Miles,Letter,Medium,1,No,High,3,1,3,Yes,167,195,124,190,159
93,No,Cash Back,Letter,Medium,1,No,High,3,1,2,Yes,1144.75,636,1275,1405,1263
94,No,Air Miles,Letter,Low,1,No,Medium,1,1,3,No,909.75,1535,1384,509,211
95,No,Cash Back,Postcard,Medium,1,Yes,Low,3,1,3,Yes,976.25,187,684,1246,1788
96,No,Points,Postcard,Low,2,No,Medium,2,3,4,Yes,741,534,883,833,714
97,No,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1343.75,876,1745,1538,1216
98,Yes,Points,Letter,Low,2,No,Low,3,1,3,Yes,1454.5,1274,1412,1838,1294
99,No,Air Miles,Letter,Medium,1,No,Medium,1,1,4,No,1791.25,1790,1994,1616,1765
100,No,Points,Letter,Low,2,Yes,Medium,1,1,3,Yes,1185.75,382,1293,2183,885
101,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1210.75,592,926,1152,2173
102,Yes,Points,Postcard,High,1,Yes,Low,1,1,9,No,161.5,44,99,454,49
103,No,Cash Back,Letter,Low,1,Yes,High,1,1,2,Yes,1033.75,1982,1018,934,201
104,No,Cash Back,Letter,High,2,No,Low,2,1,5,Yes,963,237,966,1461,1188
105,No,Cash Back,Postcard,Medium,1,No,High,2,3,5,Yes,1025.75,1260,681,1473,689
106,No,Points,Letter,Low,1,No,High,1,1,5,Yes,1071.75,1349,503,1738,697
107,No,Cash Back,Letter,Low,1,No,Low,2,2,3,Yes,1039.5,1934,1078,812,334
108,No,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,979.25,1837,1225,805,50
109,No,Points,Postcard,High,1,No,High,2,1,1,Yes,905.5,1538,1333,545,206
110,No,Cash Back,Letter,High,1,Yes,Medium,2,1,5,Yes,924,1517,1497,676,6
111,No,Cash Back,Postcard,Low,1,No,Low,1,1,2,Yes,1061.75,1860,1191,923,273
112,No,Points,Postcard,Medium,1,Yes,Medium,3,2,1,No,816.5,860,579,974,853
113,Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,1082.5,1890,1405,996,39
114,No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,Yes,928.25,1770,1124,457,362
115,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,1397.25,1804,1730,1270,785
116,No,Points,Postcard,Low,2,No,Low,1,2,5,No,1034.5,1564,1443,832,299
117,No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,738.5,703,735,831,685
118,No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,1251.5,977,1562,1719,748
119,No,Points,Postcard,Low,1,No,High,1,1,5,Yes,1153.75,520,1500,1711,884
120,No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,864,345,605,1043,1463
121,No,Cash Back,Letter,Medium,1,No,High,3,1,2,No,1155.5,1233,1101,1065,1223
122,No,Cash Back,Postcard,High,1,No,High,1,2,5,No,1090.5,1997,1093,784,488
123,No,Cash Back,Letter,Low,1,No,Medium,2,1,4,No,1090.5,1809,1526,691,336
124,No,Air Miles,Letter,Low,1,No,Low,2,1,3,Yes,773.75,974,675,503,943
125,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1052,403,1225,1652,928
126,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,944.25,1558,1188,662,369
127,No,Points,Letter,Medium,1,No,High,1,2,4,No,1147.25,753,1031,1067,1738
128,No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,1159.5,1029,684,1418,1507
129,No,Air Miles,Postcard,High,1,No,High,1,1,3,No,836.5,941,618,886,901
130,No,Cash Back,Letter,Medium,2,No,Medium,2,1,3,Yes,1057.75,439,1014,1843,935
131,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,5,No,714.75,287,750,1192,630
132,Yes,Air Miles,Postcard,High,2,No,Medium,2,2,3,Yes,811.5,820,958,564,904
133,No,Cash Back,Letter,Medium,1,No,High,2,1,3,No,865.75,1803,1027,557,76
134,No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,887.25,498,408,1343,1300
135,No,Cash Back,Letter,High,1,No,Medium,2,1,5,No,1791.75,1735,1950,1500,1982
136,No,Points,Postcard,High,1,No,High,2,1,3,Yes,1083,1849,1492,723,268
137,No,Points,Letter,Medium,2,No,Low,1,1,2,Yes,212.5,404,14,220,212
138,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,877.75,983,834,843,851
139,No,Air Miles,Letter,Medium,1,No,High,2,1,3,No,691.5,63,1144,833,726
140,No,Air Miles,Postcard,Low,2,No,Medium,2,2,4,Yes,814.5,67,906,997,1288
141,No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,955.5,1656,1237,620,309
142,No,Cash Back,Letter,High,1,No,High,2,1,4,Yes,1281.5,1009,1111,1783,1223
143,No,Air Miles,Letter,High,1,Yes,Low,2,1,3,Yes,937.5,730,955,848,1217
144,No,Points,Letter,Medium,3,Yes,Medium,2,1,3,Yes,919.75,241,1084,1701,653
145,No,Points,Postcard,Medium,3,Yes,High,1,1,3,Yes,879.75,247,1293,1400,579
146,No,Points,Letter,Medium,1,Yes,Low,4,1,4,No,1181,1446,592,2203,483
147,No,Air Miles,Postcard,Low,1,No,Medium,1,2,3,No,1153.5,311,1460,1584,1259
148,No,Points,Postcard,High,1,No,High,2,1,4,Yes,794.25,696,449,819,1213
149,No,Points,Postcard,Medium,1,Yes,Low,3,1,4,Yes,927.25,128,917,1622,1042
150,No,Points,Letter,Medium,1,No,Medium,3,1,2,No,1809,1968,1762,1534,1972
151,No,Cash Back,Letter,Low,1,No,Medium,1,1,5,No,1156.25,430,708,1661,1826
152,No,Air Miles,Postcard,High,1,Yes,Low,2,1,4,No,1121.5,625,931,1072,1858
153,No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,1203,1240,1692,1322,558
154,No,Points,Letter,High,2,No,Low,1,1,1,No,246.25,88,430,190,277
155,No,Air Miles,Letter,Low,2,No,Low,1,1,4,Yes,1454.75,664,1363,1622,2170
156,No,Points,Postcard,High,1,No,Low,2,1,2,No,687,731,530,556,931
157,No,Points,Postcard,High,2,Yes,Low,1,1,3,Yes,928,1688,1345,675,4
158,No,Points,Postcard,High,1,No,Low,2,1,2,No,933,1582,1500,577,73
159,Yes,Cash Back,Postcard,Medium,3,No,Low,1,1,5,No,1133.25,1856,1396,863,418
160,No,Cash Back,Letter,Medium,1,No,Low,3,2,5,Yes,1301.5,2090,1250,1071,795
161,No,Cash Back,Letter,High,2,No,Medium,1,1,2,Yes,1199,330,970,1488,2008
162,No,Points,Letter,Medium,2,No,Low,1,1,3,Yes,1084.25,206,619,1467,2045
163,No,Cash Back,Postcard,Low,1,No,High,2,1,2,No,1094.5,834,876,2113,555
164,No,Points,Letter,High,1,Yes,High,1,1,3,Yes,1104,2145,1053,755,463
165,No,Air Miles,Letter,High,1,No,Low,1,1,4,Yes,1042.5,941,805,1721,703
166,No,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,1089.75,1701,1484,850,324
167,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,974.25,100,1187,997,1613
168,No,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,991.5,1797,1265,799,105
169,No,Points,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1204.25,327,1457,2194,839
170,No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,No,865,235,1452,1304,469
171,No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,1144,887,911,1678,1100
172,No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,Yes,958.5,1556,1469,626,183
173,No,Cash Back,Letter,Medium,1,No,Low,2,2,3,Yes,1056.25,918,921,1838,548
174,No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,695,528,866,871,515
175,No,Cash Back,Postcard,Low,1,No,High,4,1,2,Yes,1237.5,776,1181,1208,1785
176,No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,1034,1789,831,794,722
177,No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,1246.5,1988,1589,451,958
178,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,998.75,1123,553,1221,1098
179,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,1028,1885,1042,969,216
180,No,Points,Postcard,Medium,2,No,High,2,1,2,No,320,385,368,264,263
181,No,Points,Letter,Low,2,No,High,1,2,3,Yes,91.25,76,64,121,104
182,No,Points,Letter,High,2,Yes,Medium,1,1,3,Yes,166.25,250,191,168,56
183,No,Air Miles,Letter,Medium,2,Yes,Low,3,1,2,No,240,123,288,229,320
184,No,Points,Postcard,Medium,1,No,Medium,2,1,5,No,124.75,90,154,78,177
185,No,Air Miles,Letter,High,1,No,Low,1,1,3,No,1145.75,300,1776,1776,731
186,No,Points,Postcard,Medium,3,No,Low,2,1,6,No,1292.5,1787,1746,1073,564
187,No,Points,Letter,Medium,1,Yes,High,2,2,3,Yes,1186,1006,464,1194,2080
188,No,Air Miles,Postcard,Medium,2,No,High,1,1,5,Yes,1135.25,679,1482,1630,750
189,No,Cash Back,Letter,Low,1,No,Low,3,1,4,Yes,1279.25,319,1533,2062,1203
190,No,Air Miles,Postcard,High,1,No,Low,2,2,3,Yes,1162,156,1399,1837,1256
191,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,No,954.5,1434,877,714,793
192,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,Yes,1073.25,751,930,1186,1426
193,No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,889,239,992,1523,802
194,No,Points,Letter,Medium,1,No,Low,1,1,3,No,294.25,108,376,467,226
195,No,Air Miles,Postcard,Low,2,No,Low,3,1,3,Yes,1047.5,487,1457,1252,994
196,No,Air Miles,Letter,Low,2,No,Low,1,1,3,Yes,661.25,662,533,907,543
197,No,Cash Back,Letter,Medium,2,No,Medium,3,1,2,Yes,158.75,45,118,450,22
198,No,Cash Back,Postcard,High,1,No,Medium,2,2,3,Yes,1059,394,811,1618,1413
199,No,Air Miles,Letter,Low,1,No,Medium,1,1,2,Yes,1741.75,1621,1884,1923,1539
200,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,1419.5,738,1298,2090,1552
201,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,232.5,445,68,150,267
202,No,Points,Letter,Medium,1,No,High,2,1,3,No,1122.5,1863,1147,1233,247
203,No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,No,1250.75,987,787,1420,1809
204,No,Air Miles,Letter,Medium,1,No,High,3,2,2,Yes,1057,1741,1236,981,270
205,No,Points,Postcard,High,1,No,Low,1,2,4,No,1195,1197,1866,1304,413
206,No,Air Miles,Letter,Medium,2,Yes,High,1,1,3,Yes,936.25,1714,1020,769,242
207,No,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,791.5,818,845,760,743
208,No,Cash Back,Letter,Medium,2,No,High,1,1,4,Yes,1426,1363,1833,1505,1003
209,No,Air Miles,Letter,Low,2,No,High,2,1,4,Yes,764.75,732,951,521,855
210,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,830,155,842,1450,873
211,No,Air Miles,Letter,Low,1,No,High,2,1,3,No,1162.25,405,1242,1788,1214
212,No,Cash Back,Letter,Medium,2,No,High,2,2,3,Yes,1065.5,906,883,1571,902
213,No,Cash Back,Letter,Medium,1,Yes,Low,1,1,3,Yes,1022.25,646,803,1500,1140
214,No,Cash Back,Postcard,Medium,1,No,Low,4,1,5,Yes,1181,1972,1794,873,85
215,No,Air Miles,Postcard,Low,1,No,Medium,3,1,4,Yes,1764,1752,1932,1581,1791
216,No,Cash Back,Letter,Low,2,No,Low,2,2,2,No,1043.25,704,1300,1256,913
217,No,Points,Letter,Medium,1,No,High,2,1,3,No,1702,1658,1866,1565,1719
218,No,Air Miles,Postcard,High,1,No,Medium,2,1,4,No,856,1624,1261,504,35
219,No,Air Miles,Letter,Medium,1,No,Medium,2,1,5,No,390.75,423,347,298,495
220,No,Air Miles,Postcard,Low,1,No,Low,3,2,4,No,1101.5,1275,867,1342,922
221,No,Points,Letter,Low,1,No,Medium,2,1,4,No,1016.5,1889,1436,510,231
222,No,Cash Back,Letter,Medium,2,No,High,3,1,5,Yes,287.75,238,442,17,454
223,No,Cash Back,Letter,Low,1,No,Low,3,1,6,No,841.25,100,1023,993,1249
224,No,Cash Back,Postcard,Medium,1,No,Low,3,2,6,Yes,911.75,1619,1282,676,70
225,Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,1141.5,675,1173,1519,1199
226,No,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,946.25,1757,1273,613,142
227,No,Cash Back,Letter,Low,1,No,High,3,1,5,Yes,1190.25,945,774,1132,1910
228,No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,924,104,1190,1301,1101
229,No,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,823.75,586,995,822,892
230,No,Points,Postcard,Medium,1,No,High,3,1,4,No,1006,310,1456,1850,408
231,No,Points,Letter,Low,1,No,Low,1,1,4,Yes,1008.75,189,1665,1690,491
232,No,Points,Letter,Low,1,No,Medium,2,1,3,No,1128,188,619,1629,2076
233,No,Cash Back,Postcard,High,2,No,Low,2,1,1,Yes,1340.5,2196,1127,1356,683
234,No,Points,Postcard,Low,1,Yes,Low,3,1,3,No,1371,514,1208,1657,2105
235,No,Cash Back,Letter,Medium,1,No,Low,1,2,3,No,1331.25,1043,1530,1700,1052
236,No,Points,Postcard,Low,1,Yes,High,2,1,3,Yes,704.5,274,706,818,1020
237,No,Air Miles,Postcard,Medium,1,No,High,1,2,3,Yes,1509,1175,1559,2214,1088
238,No,Cash Back,Postcard,High,2,No,Low,3,1,3,No,203.25,32,382,240,159
239,No,Air Miles,Postcard,High,1,No,Medium,1,1,2,Yes,1034,1519,1401,867,349
240,No,Air Miles,Postcard,Medium,1,No,Low,3,1,5,No,1007.25,108,1698,1722,501
241,No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,874,1206,493,833,964
242,No,Points,Letter,Medium,2,No,High,1,2,4,Yes,1148,1861,1434,967,330
243,No,Air Miles,Letter,High,1,No,Low,3,1,3,Yes,229.25,207,133,403,174
244,No,Points,Postcard,Medium,1,No,High,2,1,3,No,962.75,1405,1256,444,746
245,No,Points,Postcard,Medium,1,No,Low,4,1,5,No,1437.75,865,1304,1420,2162
246,No,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,1281.5,765,1147,2116,1098
247,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,1029.5,1274,1451,703,690
248,No,Air Miles,Postcard,Low,1,No,High,2,1,2,No,883.75,1583,1012,747,193
249,No,Air Miles,Letter,Medium,1,No,Low,4,2,4,No,1144.5,954,1752,803,1069
250,No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,1117,65,1762,1723,918
251,Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,1047.75,438,762,1014,1977
252,No,Air Miles,Postcard,Low,1,No,Medium,4,1,4,Yes,992.5,115,837,1224,1794
253,No,Air Miles,Letter,Low,1,No,High,1,1,1,Yes,1065.25,1422,895,1356,588
254,No,Points,Postcard,Low,1,No,Low,4,1,3,No,1526,989,1679,2046,1390
255,No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,1741.75,1757,1599,1907,1704
256,No,Cash Back,Letter,Medium,2,No,High,1,2,3,No,342.5,332,303,390,345
257,No,Air Miles,Letter,Medium,1,No,Medium,3,1,5,No,935.75,302,435,1700,1306
258,No,Points,Postcard,Low,1,No,Low,1,1,1,Yes,1058.5,190,1262,1595,1187
259,No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,855,758,959,864,839
260,No,Cash Back,Postcard,Medium,1,No,Medium,1,2,5,No,1263,947,1650,1094,1361
261,No,Cash Back,Letter,Medium,2,No,Medium,1,1,6,Yes,1094.25,1613,1397,918,449
262,No,Air Miles,Postcard,High,1,No,High,2,1,2,No,228.25,370,224,15,304
263,No,Cash Back,Postcard,Medium,1,No,Low,1,2,3,No,1265,679,1505,1989,887
264,Yes,Air Miles,Postcard,Medium,1,No,Low,4,1,4,No,1034,1720,1070,911,435
265,No,Points,Postcard,Medium,1,No,Low,2,2,2,Yes,1210.25,1395,1731,1184,531
266,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1150.5,1989,1234,885,494
267,No,Points,Postcard,Low,2,No,Medium,2,1,3,Yes,691.5,518,794,512,942
268,No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,1296.25,338,748,2239,1860
269,No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,690.5,507,748,759,748
270,No,Cash Back,Letter,Medium,1,No,Medium,1,1,4,Yes,1161.25,1958,1001,1254,432
271,No,Cash Back,Letter,Low,1,Yes,Low,3,1,1,Yes,874.25,987,870,963,677
272,No,Cash Back,Postcard,Low,1,No,High,2,1,2,Yes,1272.75,641,861,1838,1751
273,No,Air Miles,Letter,Low,2,No,Low,1,1,3,No,1028.75,1729,1346,925,115
274,No,Cash Back,Letter,Medium,2,No,Medium,1,1,4,No,677.25,958,553,622,576
275,No,Air Miles,Postcard,High,1,No,Low,3,1,4,No,1053.25,394,946,1556,1317
276,No,Points,Postcard,Low,1,No,High,1,1,3,No,1022,522,723,1109,1734
277,No,Points,Letter,Medium,1,No,Medium,3,2,3,Yes,1024,1241,975,1112,768
278,Yes,Points,Postcard,High,2,No,Low,1,1,1,Yes,887.25,1709,1089,521,230
279,No,Air Miles,Letter,Medium,1,No,Medium,2,2,4,No,1163.25,94,1049,1643,1867
280,No,Points,Letter,High,1,No,Low,2,1,3,No,139,247,57,4,248
281,No,Points,Letter,Medium,1,No,High,4,1,3,Yes,1164.5,829,739,1385,1705
282,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,984,1414,759,1111,652
283,No,Air Miles,Letter,Low,1,Yes,Medium,2,1,4,Yes,735.75,593,941,832,577
284,No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,1176,242,1241,1655,1566
285,No,Air Miles,Postcard,Medium,1,No,Medium,3,2,5,No,1504.5,929,1050,2232,1807
286,Yes,Points,Postcard,Low,2,No,Low,4,1,3,Yes,881.25,950,948,950,677
287,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,1168.5,2162,1074,972,466
288,Yes,Cash Back,Letter,Low,2,No,Low,3,2,3,Yes,1107.5,1302,1545,1396,187
289,No,Air Miles,Letter,Medium,2,No,High,2,1,4,No,129.75,355,79,23,62
290,No,Points,Postcard,Low,1,No,High,3,2,1,No,1033.75,417,803,956,1959
